MapCode,SpeciesName,CohortAge,CohortBiomass
0,GASH,1,1
1,ACCI,20,6
1,ACCI,30,6
1,ALRU,20,82
1,ALRU,20,410
1,ALRU,20,738
1,RUSP,70,5
2,ACCI,20,6
2,ACCI,30,6
2,ALRU,1,587
2,PSME,1,672
2,PSME,70,580
2,PSME,120,777
2,PSME,130,777
2,RUSP,70,32
2,TSHE,30,7766
2,TSHE,40,15247
2,TSHE,80,428
3,ACCI,20,128
3,ACCI,30,31
3,ACMA,40,952
3,ACMA,180,446
3,PSME,110,14939
3,PSME,150,14939
3,RUSP,70,5
4,ACCI,20,128
4,ACCI,30,31
4,PSME,140,165
4,RUSP,70,13
4,TSHE,20,11568
4,TSHE,70,15343
4,TSHE,150,15343
5,ACCI,20,41
5,ACCI,30,41
5,PSME,90,260
5,PSME,100,96
5,PSME,120,96
5,PSME,140,96
5,RUSP,70,5
6,ACCI,20,9
6,ACCI,30,9
6,RUSP,70,12
6,TSHE,40,774
6,TSHE,80,1586
6,TSHE,80,1586
6,TSHE,110,1586
6,TSHE,120,1586
7,ACCI,20,237
7,ACCI,30,237
7,PSME,40,11071
7,PSME,50,3403
7,PSME,60,1151
7,PSME,110,234
7,PSME,130,234
7,RUSP,70,7
7,THPL,30,67
8,ACCI,20,563
8,ACCI,30,563
8,ACMA,10,5445
8,ALRU,1,713
8,FRPU,10,11
8,FRPU,10,11
8,RUSP,70,73
9,ACCI,20,6
9,ACCI,30,6
9,ACMA,30,1844
9,ACMA,40,1859
9,ACMA,50,1750
9,ACMA,110,2415
9,ACMA,120,2395
9,ACMA,130,2344
9,ACMA,180,2324
9,RUSP,70,37
10,ACCI,20,41
10,ACCI,30,41
10,PSME,90,260
10,PSME,110,96
10,PSME,120,96
10,PSME,130,96
10,RUSP,70,5
11,ACCI,20,6
11,ACCI,30,6
11,ALRU,10,1508
11,ALRU,20,1508
11,ALRU,20,1508
11,ALRU,40,1507
11,PSME,130,1626
11,RUSP,70,72
11,THPL,70,96
12,ACCI,20,128
12,ACCI,30,31
12,PSME,60,14939
12,PSME,120,14939
12,RUSP,70,5
13,ACCI,20,128
13,ACCI,30,31
13,ACMA,20,223
13,PSME,120,14939
13,PSME,150,14939
13,RUSP,70,5
14,ACCI,20,41
14,ACCI,30,41
14,PISI,270,1542
14,PSME,100,774
14,PSME,110,774
14,PSME,130,774
14,RUSP,70,5
15,PSME,1,262
15,PSME,120,304
15,RHMA,20,26
15,RUSP,70,10
15,VAOV,30,28
15,VAOV,40,28
15,VAOV,50,28
15,VAOV,60,28
16,PSME,110,304
16,PSME,110,304
16,RHMA,20,26
16,RUSP,70,10
16,VAOV,30,28
16,VAOV,40,28
16,VAOV,50,28
16,VAOV,60,28
17,ACCI,20,41
17,ACCI,30,41
17,PSME,50,3403
17,PSME,50,1791
17,PSME,120,234
17,PSME,130,234
17,PSME,200,234
17,RUSP,70,5
18,ACCI,20,237
18,ACCI,30,237
18,PSME,100,263
18,PSME,110,302
18,PSME,110,336
18,PSME,110,345
18,PSME,120,350
18,PSME,120,350
18,PSME,130,350
18,RUSP,70,267
18,TSHE,30,2889
19,PSME,80,290
19,PSME,110,90
19,PSME,110,88
19,PSME,110,88
19,PSME,130,86
19,PSME,140,85
19,PSME,160,84
19,RUSP,50,5
20,ACCI,20,136
20,ACCI,30,136
20,ACMA,10,107
20,ACMA,10,107
20,ACMA,10,107
20,ACMA,10,107
20,ACMA,30,107
20,ACMA,40,250
20,PSME,120,18332
20,PSME,140,18332
20,PSME,150,18332
20,PSME,160,18332
20,RUSP,70,4
21,ACCI,20,41
21,ACCI,30,41
21,PSME,90,234
21,PSME,90,234
21,PSME,100,234
21,PSME,110,234
21,PSME,130,234
21,RUSP,70,5
22,ACCI,20,39
22,ACCI,30,82
22,PSME,1,473
22,PSME,90,26386
22,PSME,90,23609
22,PSME,100,9974
22,PSME,100,10349
22,PSME,100,10847
22,PSME,120,4346
22,PSME,120,4264
22,PSME,130,4017
22,PSME,130,3522
22,PSME,200,1328
22,RUSP,70,195
22,TSHE,50,393
23,ACCI,20,237
